@QF  vs t@
X,QF
 0.1072000E+01, 0.1128099E+01
 0.1074000E+01, 0.1129603E+01
 0.1076000E+01, 0.1131107E+01
 0.1078000E+01, 0.1132611E+01
 0.1080000E+01, 0.1134116E+01
 0.1082000E+01, 0.1135622E+01
 0.1084000E+01, 0.1137127E+01
 0.1086000E+01, 0.1138634E+01
 0.1088000E+01, 0.1140140E+01
 0.1090000E+01, 0.1141647E+01
 0.1092000E+01, 0.1143155E+01
 0.1094000E+01, 0.1144663E+01
 0.1096000E+01, 0.1146172E+01
 0.1098000E+01, 0.1147680E+01
 0.1100000E+01, 0.1149190E+01
 0.1102000E+01, 0.1150700E+01
 0.1104000E+01, 0.1152210E+01
 0.1106000E+01, 0.1153720E+01
 0.1108000E+01, 0.1155232E+01
 0.1110000E+01, 0.1156743E+01
 0.1112000E+01, 0.1158255E+01
 0.1114000E+01, 0.1159768E+01
 0.1116000E+01, 0.1161281E+01
 0.1118000E+01, 0.1162794E+01
 0.1120000E+01, 0.1164308E+01
 0.1122000E+01, 0.1165822E+01
 0.1124000E+01, 0.1167337E+01
 0.1126000E+01, 0.1168852E+01
 0.1128000E+01, 0.1170368E+01
 0.1130000E+01, 0.1171884E+01
 0.1132000E+01, 0.1173401E+01
 0.1134000E+01, 0.1174918E+01
 0.1136000E+01, 0.1176435E+01
 0.1138000E+01, 0.1177953E+01
 0.1140000E+01, 0.1179471E+01
 0.1142000E+01, 0.1180990E+01
 0.1144000E+01, 0.1182510E+01
 0.1146000E+01, 0.1184029E+01
 0.1148000E+01, 0.1185550E+01
 0.1150000E+01, 0.1187070E+01
 0.1152000E+01, 0.1188592E+01
 0.1154000E+01, 0.1190113E+01
 0.1156000E+01, 0.1191635E+01
 0.1158000E+01, 0.1193158E+01
 0.1160000E+01, 0.1194681E+01
 0.1162000E+01, 0.1196205E+01
 0.1164000E+01, 0.1197729E+01
 0.1166000E+01, 0.1199253E+01
 0.1168000E+01, 0.1200778E+01
 0.1170000E+01, 0.1202303E+01
 0.1172000E+01, 0.1203829E+01
 0.1174000E+01, 0.1205356E+01
 0.1176000E+01, 0.1206882E+01
 0.1178000E+01, 0.1208410E+01
 0.1180000E+01, 0.1209937E+01
 0.1182000E+01, 0.1211466E+01
 0.1184000E+01, 0.1212994E+01
 0.1186000E+01, 0.1214524E+01
 0.1188000E+01, 0.1216053E+01
 0.1190000E+01, 0.1217583E+01
 0.1192000E+01, 0.1219114E+01
 0.1194000E+01, 0.1220645E+01
 0.1196000E+01, 0.1222177E+01
 0.1198000E+01, 0.1223709E+01
 0.1200000E+01, 0.1225241E+01
 0.1202000E+01, 0.1226774E+01
 0.1204000E+01, 0.1228308E+01
 0.1206000E+01, 0.1229842E+01
 0.1208000E+01, 0.1231376E+01
 0.1210000E+01, 0.1232911E+01
 0.1212000E+01, 0.1234447E+01
 0.1214000E+01, 0.1235983E+01
 0.1216000E+01, 0.1237519E+01
 0.1218000E+01, 0.1239056E+01
 0.1220000E+01, 0.1240593E+01
 0.1222000E+01, 0.1242131E+01
 0.1224000E+01, 0.1243670E+01
 0.1226000E+01, 0.1245209E+01
 0.1228000E+01, 0.1246748E+01
 0.1230000E+01, 0.1248288E+01
 0.1232000E+01, 0.1249828E+01
 0.1234000E+01, 0.1251369E+01
 0.1236000E+01, 0.1252910E+01
 0.1238000E+01, 0.1254452E+01
 0.1240000E+01, 0.1255995E+01
 0.1242000E+01, 0.1257537E+01
 0.1244000E+01, 0.1259081E+01
 0.1246000E+01, 0.1260625E+01
 0.1248000E+01, 0.1262169E+01
 0.1250000E+01, 0.1263714E+01
 0.1252000E+01, 0.1265259E+01
 0.1254000E+01, 0.1266805E+01
 0.1256000E+01, 0.1268352E+01
 0.1258000E+01, 0.1269899E+01
 0.1260000E+01, 0.1271446E+01
 0.1262000E+01, 0.1272994E+01
 0.1264000E+01, 0.1274542E+01
 0.1266000E+01, 0.1276091E+01
 0.1268000E+01, 0.1277641E+01
 0.1270000E+01, 0.1279191E+01
 0.1272000E+01, 0.1280741E+01
 0.1274000E+01, 0.1282292E+01
 0.1276000E+01, 0.1283844E+01
 0.1278000E+01, 0.1285396E+01
 0.1280000E+01, 0.1286948E+01
 0.1282000E+01, 0.1288502E+01
 0.1284000E+01, 0.1290055E+01
 0.1286000E+01, 0.1291609E+01
 0.1288000E+01, 0.1293164E+01
 0.1290000E+01, 0.1294719E+01
 0.1292000E+01, 0.1296275E+01
 0.1294000E+01, 0.1297831E+01
 0.1296000E+01, 0.1299388E+01
 0.1298000E+01, 0.1300945E+01
 0.1300000E+01, 0.1302503E+01
 0.1302000E+01, 0.1304062E+01
 0.1304000E+01, 0.1305621E+01
 0.1306000E+01, 0.1307180E+01
 0.1308000E+01, 0.1308740E+01
 0.1310000E+01, 0.1310301E+01
 0.1312000E+01, 0.1311862E+01
 0.1314000E+01, 0.1313423E+01
 0.1316000E+01, 0.1314986E+01
 0.1318000E+01, 0.1316548E+01
 0.1320000E+01, 0.1318112E+01
 0.1322000E+01, 0.1319675E+01
 0.1324000E+01, 0.1321240E+01
 0.1326000E+01, 0.1322805E+01
 0.1328000E+01, 0.1324370E+01
 0.1330000E+01, 0.1325936E+01
 0.1332000E+01, 0.1327503E+01
 0.1334000E+01, 0.1329070E+01
 0.1336000E+01, 0.1330637E+01
 0.1338000E+01, 0.1332206E+01
 0.1340000E+01, 0.1333774E+01
 0.1342000E+01, 0.1335344E+01
 0.1344000E+01, 0.1336914E+01
 0.1346000E+01, 0.1338484E+01
 0.1348000E+01, 0.1340055E+01
 0.1350000E+01, 0.1341627E+01
 0.1352000E+01, 0.1343199E+01
 0.1354000E+01, 0.1344771E+01
 0.1356000E+01, 0.1346345E+01
 0.1358000E+01, 0.1347918E+01
 0.1360000E+01, 0.1349493E+01
 0.1362000E+01, 0.1351068E+01
 0.1364000E+01, 0.1352643E+01
 0.1366000E+01, 0.1354219E+01
 0.1368000E+01, 0.1355796E+01
 0.1370000E+01, 0.1357373E+01
 0.1372000E+01, 0.1358951E+01
 0.1374000E+01, 0.1360529E+01
 0.1376000E+01, 0.1362108E+01
 0.1378000E+01, 0.1363688E+01
 0.1380000E+01, 0.1365268E+01
 0.1382000E+01, 0.1366849E+01
 0.1384000E+01, 0.1368430E+01
 0.1386000E+01, 0.1370012E+01
 0.1388000E+01, 0.1371594E+01
