@TAUE1,TAUE2,TAUE89  vs t@
X,TAUE1,TAUE2,TAUE89
 0.5940000E+01, 0.1316739E+01, 0.1361730E+01, 0.3429883E+01,
 0.5960000E+01, 0.1317539E+01, 0.1362328E+01, 0.3430069E+01,
 0.5980000E+01, 0.1318335E+01, 0.1362923E+01, 0.3430254E+01,
 0.6000000E+01, 0.1319127E+01, 0.1363515E+01, 0.3430437E+01,
 0.6020000E+01, 0.1319915E+01, 0.1364105E+01, 0.3430619E+01,
 0.6040000E+01, 0.1320698E+01, 0.1364692E+01, 0.3430799E+01,
 0.6060000E+01, 0.1321478E+01, 0.1365276E+01, 0.3430978E+01,
 0.6080000E+01, 0.1322253E+01, 0.1365857E+01, 0.3431155E+01,
 0.6100000E+01, 0.1323024E+01, 0.1366436E+01, 0.3431332E+01,
 0.6120000E+01, 0.1323791E+01, 0.1367012E+01, 0.3431507E+01,
 0.6140000E+01, 0.1324555E+01, 0.1367585E+01, 0.3431680E+01,
 0.6160000E+01, 0.1325314E+01, 0.1368156E+01, 0.3431853E+01,
 0.6180000E+01, 0.1326069E+01, 0.1368724E+01, 0.3432024E+01,
 0.6200000E+01, 0.1326821E+01, 0.1369289E+01, 0.3432193E+01,
 0.6220000E+01, 0.1327568E+01, 0.1369852E+01, 0.3432362E+01,
 0.6240000E+01, 0.1328312E+01, 0.1370413E+01, 0.3432529E+01,
 0.6260000E+01, 0.1329052E+01, 0.1370970E+01, 0.3432695E+01,
 0.6280000E+01, 0.1329788E+01, 0.1371526E+01, 0.3432860E+01,
 0.6300000E+01, 0.1330521E+01, 0.1372079E+01, 0.3433023E+01,
 0.6320000E+01, 0.1331249E+01, 0.1372629E+01, 0.3433185E+01,
 0.6340000E+01, 0.1331974E+01, 0.1373177E+01, 0.3433346E+01,
 0.6360000E+01, 0.1332696E+01, 0.1373722E+01, 0.3433506E+01,
 0.6380000E+01, 0.1333413E+01, 0.1374265E+01, 0.3433665E+01,
 0.6400000E+01, 0.1334127E+01, 0.1374806E+01, 0.3433822E+01,
 0.6420000E+01, 0.1334838E+01, 0.1375344E+01, 0.3433979E+01,
 0.6440000E+01, 0.1335545E+01, 0.1375880E+01, 0.3434134E+01,
 0.6460000E+01, 0.1336248E+01, 0.1376413E+01, 0.3434288E+01,
 0.6480000E+01, 0.1336948E+01, 0.1376945E+01, 0.3434441E+01,
 0.6500000E+01, 0.1337645E+01, 0.1377473E+01, 0.3434592E+01,
 0.6520000E+01, 0.1338338E+01, 0.1378000E+01, 0.3434743E+01,
 0.6540000E+01, 0.1339027E+01, 0.1378524E+01, 0.3434893E+01,
 0.6560000E+01, 0.1339713E+01, 0.1379046E+01, 0.3435041E+01,
 0.6580000E+01, 0.1340396E+01, 0.1379566E+01, 0.3435189E+01,
 0.6600000E+01, 0.1341076E+01, 0.1380083E+01, 0.3435335E+01,
 0.6620000E+01, 0.1341752E+01, 0.1380599E+01, 0.3435480E+01,
 0.6640000E+01, 0.1342425E+01, 0.1381112E+01, 0.3435624E+01,
