psi_index,theta_index,theta_rad,R_m,Z_m,PSIP
   4,  49,  0.47123890E+01,  0.85528545E+01,  0.68300778E+00,  0.26428449E+00
   4,  50,  0.48105638E+01,  0.85693407E+01,  0.68502063E+00,  0.26428449E+00
   4,  51,  0.49087385E+01,  0.85851517E+01,  0.69011801E+00,  0.26428449E+00
   4,  52,  0.50069133E+01,  0.85998764E+01,  0.69782251E+00,  0.26428449E+00
   4,  53,  0.51050881E+01,  0.86133156E+01,  0.70760524E+00,  0.26428449E+00
   4,  54,  0.52032628E+01,  0.86254101E+01,  0.71901304E+00,  0.26428449E+00
   4,  55,  0.53014376E+01,  0.86361761E+01,  0.73168552E+00,  0.26428449E+00
   4,  56,  0.53996124E+01,  0.86456728E+01,  0.74533683E+00,  0.26428449E+00
   4,  57,  0.54977871E+01,  0.86539764E+01,  0.75974655E+00,  0.26428449E+00
   4,  58,  0.55959619E+01,  0.86611509E+01,  0.77475125E+00,  0.26428449E+00
   4,  59,  0.56941367E+01,  0.86672468E+01,  0.79022628E+00,  0.26428449E+00
   4,  60,  0.57923115E+01,  0.86723061E+01,  0.80607069E+00,  0.26428449E+00
   4,  61,  0.58904862E+01,  0.86763668E+01,  0.82220030E+00,  0.26428449E+00
   4,  62,  0.59886610E+01,  0.86794615E+01,  0.83854312E+00,  0.26428449E+00
   4,  63,  0.60868358E+01,  0.86816187E+01,  0.85503596E+00,  0.26428449E+00
   4,  64,  0.61850105E+01,  0.86828651E+01,  0.87162262E+00,  0.26428449E+00
   5,   1,  0.00000000E+00,  0.87239923E+01,  0.88825232E+00,  0.49941573E+00
   5,   2,  0.98174770E-01,  0.87232704E+01,  0.91056913E+00,  0.49941573E+00
   5,   3,  0.19634954E+00,  0.87212944E+01,  0.93280983E+00,  0.49941573E+00
   5,   4,  0.29452431E+00,  0.87180414E+01,  0.95489985E+00,  0.49941573E+00
   5,   5,  0.39269908E+00,  0.87134933E+01,  0.97675973E+00,  0.49941573E+00
   5,   6,  0.49087385E+00,  0.87076311E+01,  0.99830437E+00,  0.49941573E+00
   5,   7,  0.58904862E+00,  0.87004318E+01,  0.10194395E+01,  0.49941573E+00
   5,   8,  0.68722339E+00,  0.86918411E+01,  0.10400473E+01,  0.49941573E+00
   5,   9,  0.78539816E+00,  0.86817894E+01,  0.10599830E+01,  0.49941573E+00
   5,  10,  0.88357293E+00,  0.86702080E+01,  0.10790689E+01,  0.49941573E+00
   5,  11,  0.98174770E+00,  0.86570225E+01,  0.10970821E+01,  0.49941573E+00
   5,  12,  0.10799225E+01,  0.86421633E+01,  0.11137394E+01,  0.49941573E+00
   5,  13,  0.11780972E+01,  0.86255865E+01,  0.11286846E+01,  0.49941573E+00
   5,  14,  0.12762720E+01,  0.86073027E+01,  0.11414782E+01,  0.49941573E+00
   5,  15,  0.13744468E+01,  0.85874147E+01,  0.11515882E+01,  0.49941573E+00
   5,  16,  0.14726216E+01,  0.85661716E+01,  0.11583848E+01,  0.49941573E+00
   5,  17,  0.15707963E+01,  0.85440607E+01,  0.11612785E+01,  0.49941573E+00
   5,  18,  0.16689711E+01,  0.85218058E+01,  0.11599257E+01,  0.49941573E+00
   5,  19,  0.17671459E+01,  0.85002260E+01,  0.11543143E+01,  0.49941573E+00
   5,  20,  0.18653206E+01,  0.84800396E+01,  0.11448318E+01,  0.49941573E+00
   5,  21,  0.19634954E+01,  0.84616919E+01,  0.11321410E+01,  0.49941573E+00
   5,  22,  0.20616702E+01,  0.84453630E+01,  0.11169324E+01,  0.49941573E+00
   5,  23,  0.21598449E+01,  0.84310560E+01,  0.10998025E+01,  0.49941573E+00
   5,  24,  0.22580197E+01,  0.84186716E+01,  0.10812309E+01,  0.49941573E+00
   5,  25,  0.23561945E+01,  0.84080706E+01,  0.10615841E+01,  0.49941573E+00
   5,  26,  0.24543693E+01,  0.83991041E+01,  0.10411377E+01,  0.49941573E+00
   5,  27,  0.25525440E+01,  0.83916321E+01,  0.10200982E+01,  0.49941573E+00
   5,  28,  0.26507188E+01,  0.83855238E+01,  0.99862200E+00,  0.49941573E+00
   5,  29,  0.27488936E+01,  0.83806725E+01,  0.97682709E+00,  0.49941573E+00
   5,  30,  0.28470683E+01,  0.83770161E+01,  0.95479965E+00,  0.49941573E+00
   5,  31,  0.29452431E+01,  0.83745127E+01,  0.93261153E+00,  0.49941573E+00
   5,  32,  0.30434179E+01,  0.83731213E+01,  0.91032577E+00,  0.49941573E+00
   5,  33,  0.31415927E+01,  0.83728094E+01,  0.88799870E+00,  0.49941573E+00
   5,  34,  0.32397674E+01,  0.83735476E+01,  0.86568153E+00,  0.49941573E+00
   5,  35,  0.33379422E+01,  0.83753357E+01,  0.84342402E+00,  0.49941573E+00
   5,  36,  0.34361170E+01,  0.83782129E+01,  0.82128114E+00,  0.49941573E+00
   5,  37,  0.35342917E+01,  0.83822231E+01,  0.79931545E+00,  0.49941573E+00
   5,  38,  0.36324665E+01,  0.83874168E+01,  0.77759933E+00,  0.49941573E+00
   5,  39,  0.37306413E+01,  0.83938513E+01,  0.75621849E+00,  0.49941573E+00
   5,  40,  0.38288160E+01,  0.84015961E+01,  0.73527741E+00,  0.49941573E+00
   5,  41,  0.39269908E+01,  0.84107628E+01,  0.71491969E+00,  0.49941573E+00
   5,  42,  0.40251656E+01,  0.84214926E+01,  0.69534224E+00,  0.49941573E+00
   5,  43,  0.41233404E+01,  0.84339352E+01,  0.67680895E+00,  0.49941573E+00
